"","team_name","conf","div","win","loss","win_loss_pct","mov","ortg","drtg","ntrg","movA","ortgA","drtgA","nrtgA","plyf"
"210","Oklahoma City Thunder","W","NW",52,30,0.634,2.29,113.09,110.41,2.68,2.59,113.33,110.34,2.99,1
"211","Memphis Grizzlies","W","SW",45,37,0.549,2.29,106.5,103.89,2.61,2.63,106.57,103.6,2.97,1
"212","Sacramento Kings","W","P",50,32,0.61,2.16,111.02,108.76,2.26,2.55,111.16,108.46,2.7,1
"213","Denver Nuggets","W","NW",49,33,0.598,2.02,106.6,104.67,1.93,2.22,106.49,104.34,2.15,1
"214","Minnesota Timberwolves","W","NW",44,38,0.537,1.45,108.99,107.35,1.64,1.73,108.98,107.05,1.93,0
"215","Chicago Bulls","E","C",47,35,0.573,1.06,102.14,101.01,1.13,0.65,101.84,101.15,0.69,1
"216","Indiana Pacers","E","C",44,38,0.537,0.76,106.46,105.55,0.91,0.49,106.47,105.85,0.62,1
"217","Boston Celtics","E","A",45,37,0.549,0.87,108.31,107.4,0.91,0.34,108.27,107.92,0.35,1
"218","Cleveland Cavaliers","E","C",42,40,0.512,0.79,107.58,106.68,0.89,0.27,107.5,107.17,0.33,0
"219","Los Angeles Clippers","W","P",37,45,0.451,-0.77,106.76,107.5,-0.74,-0.47,106.78,107.2,-0.43,0
"220","Washington Wizards","E","SE",45,37,0.549,-0.33,107.94,108.32,-0.38,-0.72,107.91,108.7,-0.79,1
"221","Philadelphia 76ers","E","A",43,39,0.524,-0.74,104,104.86,-0.86,-1.08,103.82,105.03,-1.21,1
"222","Toronto Raptors","E","A",33,49,0.402,-1.62,107.78,109.41,-1.63,-1.81,107.85,109.68,-1.83,0
"223","Golden State Warriors","W","P",34,48,0.415,-2.16,105.24,107.71,-2.46,-1.74,105.22,107.24,-2.01,0
"224","Brooklyn Nets","E","A",42,40,0.512,-1.5,102.29,104.02,-1.73,-1.82,102.11,104.18,-2.07,1
"225","Los Angeles Lakers","W","P",34,48,0.415,-2.96,108.86,112.12,-3.27,-2.33,109.16,111.74,-2.58,0
"226","Orlando Magic","E","SE",36,46,0.439,-2.24,105.7,108.01,-2.31,-2.52,105.73,108.33,-2.6,0
"227","New York Knicks","E","A",33,49,0.402,-2.44,106.93,109.59,-2.66,-2.73,107.05,110.01,-2.96,0
"228","Milwaukee Bucks","E","C",30,52,0.366,-2.99,107,110.42,-3.42,-3.09,107.21,110.72,-3.51,0
"229","Portland Trail Blazers","W","NW",27,55,0.329,-4,104.26,108.64,-4.37,-3.45,104.39,108.17,-3.78,0
"230","Utah Jazz","W","NW",26,56,0.317,-4.27,105.57,110.29,-4.72,-3.74,105.75,109.9,-4.16,0
"231","Charlotte Hornets","E","SE",18,64,0.22,-5.99,101.91,108.4,-6.49,-6.15,101.87,108.54,-6.67,0
"232","New Orleans Pelicans","W","SW",18,64,0.22,-7.07,100.72,108.89,-8.17,-6.3,101,108.32,-7.32,0
"233","Atlanta Hawks","E","SE",13,69,0.159,-9.71,101.23,111.99,-10.76,-9.62,101.45,112.09,-10.64,0
"234","San Antonio Spurs","W","SW",63,19,0.768,6.82,108.02,100.32,7.7,6.69,107.93,100.38,7.54,1
"235","Detroit Pistons","E","C",64,18,0.78,6.67,111.59,103.9,7.69,6.23,111.35,104.15,7.2,1
"236","Dallas Mavericks","W","SW",60,22,0.732,6.07,112.87,105.73,7.14,5.96,113.06,106.07,6.99,1
"237","Phoenix Suns","W","P",54,28,0.659,5.55,112.27,106.45,5.82,5.48,112.32,106.58,5.74,1
"238","Memphis Grizzlies","W","SW",49,33,0.598,3.7,107.11,102.69,4.42,3.74,107.1,102.66,4.44,1
"239","Miami Heat","E","SE",52,30,0.634,3.87,109.53,105.34,4.19,3.59,109.28,105.38,3.9,1
"240","Los Angeles Lakers","W","P",45,37,0.549,2.5,109.26,106.59,2.67,2.53,109.46,106.77,2.69,1
"241","Cleveland Cavaliers","E","C",50,32,0.61,2.23,108.49,106.01,2.48,2.17,108.49,106.07,2.42,1
"242","Los Angeles Clippers","W","P",47,35,0.573,1.57,106.09,104.24,1.85,1.75,106.11,104.08,2.03,1
"243","Indiana Pacers","E","C",41,41,0.5,1.89,105.3,103,2.3,1.62,104.91,102.9,2.01,1
"244","Washington Wizards","E","SE",42,40,0.512,1.85,110.01,107.93,2.08,1.56,109.91,108.14,1.76,1
"245","Sacramento Kings","W","P",44,38,0.537,1.54,107.45,105.8,1.65,1.61,107.51,105.8,1.72,1
"246","Brooklyn Nets","E","A",49,33,0.598,1.37,104.66,103.24,1.42,1.11,104.24,103.1,1.15,1
"247","Chicago Bulls","E","C",41,41,0.5,0.63,104.64,103.99,0.64,0.51,104.38,103.85,0.52,1
"248","Denver Nuggets","W","NW",44,38,0.537,0.23,106.16,106.01,0.15,0.36,106.22,105.94,0.28,1
"249","Golden State Warriors","W","P",34,48,0.415,-1.35,105.36,106.79,-1.44,-1.11,105.55,106.74,-1.18,0
"250","Milwaukee Bucks","E","C",40,42,0.488,-1.04,106.81,107.98,-1.17,-1.07,106.8,108,-1.2,1
"251","Orlando Magic","E","SE",36,46,0.439,-1.07,106.99,108.25,-1.26,-1.26,106.84,108.29,-1.45,0
"252","Houston Rockets","W","SW",34,48,0.415,-1.59,102.41,104.42,-2.02,-1.31,102.5,104.2,-1.7,0
"253","Boston Celtics","E","A",33,49,0.402,-1.54,106.12,107.86,-1.73,-1.59,106.05,107.83,-1.78,0
"254","Minnesota Timberwolves","W","NW",33,49,0.402,-1.88,103.52,105.65,-2.13,-1.75,103.59,105.58,-1.99,0
"255","Philadelphia 76ers","E","A",38,44,0.463,-1.95,106.89,109,-2.1,-2.11,106.79,109.06,-2.27,0
"256","Utah Jazz","W","NW",41,41,0.5,-2.63,104.93,107.9,-2.96,-2.49,104.98,107.79,-2.81,0
"257","New Orleans Pelicans","W","SW",38,44,0.463,-2.82,104.5,107.77,-3.27,-2.51,104.62,107.56,-2.94,0
"258","Toronto Raptors","E","A",27,55,0.329,-2.99,110.22,113.34,-3.12,-3.03,110.4,113.57,-3.17,0
"259","Oklahoma City Thunder","W","NW",35,47,0.427,-3.02,111.99,115.45,-3.45,-2.88,112.49,115.79,-3.31,0
"260","Charlotte Hornets","E","SE",26,56,0.317,-4,103.14,107.48,-4.33,-3.9,103.06,107.27,-4.21,0
"261","Atlanta Hawks","E","SE",26,56,0.317,-4.76,107.2,112.46,-5.26,-4.69,107.29,112.47,-5.17,0
"262","New York Knicks","E","A",23,59,0.28,-6.4,104.74,111.87,-7.14,-6.3,104.74,111.74,-7,0
"263","Portland Trail Blazers","W","NW",21,61,0.256,-9.45,102.06,112.87,-10.81,-8.91,102.35,112.56,-10.21,0
"264","San Antonio Spurs","W","SW",58,24,0.707,8.43,110.11,100.64,9.47,8.35,109.84,100.47,9.37,1
"265","Dallas Mavericks","W","SW",67,15,0.817,7.22,112.32,104.12,8.2,7.28,112.23,103.98,8.25,1
"266","Phoenix Suns","W","P",61,21,0.744,7.3,114.68,106.9,7.78,7.27,114.66,106.9,7.76,1
"267","Houston Rockets","W","SW",52,30,0.634,4.85,106.64,101.31,5.33,5.04,106.43,100.9,5.53,1
"268","Chicago Bulls","E","C",49,33,0.598,5.01,105.71,100.32,5.39,4.52,105.36,100.5,4.86,1
"269","Detroit Pistons","E","C",53,29,0.646,4.16,109.8,104.87,4.93,3.68,109.72,105.33,4.39,1
"270","Cleveland Cavaliers","E","C",50,32,0.61,3.83,106.15,102.1,4.05,3.33,105.92,102.41,3.52,1
"271","Utah Jazz","W","NW",51,31,0.622,2.87,110.65,107.4,3.25,3.06,110.7,107.24,3.45,1
"272","Denver Nuggets","W","NW",45,37,0.549,1.62,108.12,106.51,1.62,1.69,107.95,106.24,1.7,1
"273","Toronto Raptors","E","A",47,35,0.573,0.99,107.92,106.56,1.36,0.61,107.84,106.91,0.93,1
"274","Orlando Magic","E","SE",40,42,0.488,0.78,105.99,105.03,0.96,0.34,105.76,105.28,0.48,1
"275","Los Angeles Lakers","W","P",42,40,0.512,-0.07,109.09,109.28,-0.19,0.24,109.18,109.02,0.16,1
"276","Golden State Warriors","W","P",42,40,0.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14,1
"277","Los Angeles Clippers","W","P",40,42,0.488,-0.46,105.9,106.55,-0.65,-0.07,105.91,106.14,-0.22,0
"278","Washington Wizards","E","SE",41,41,0.5,-0.51,110.57,111.28,-0.71,-0.8,110.7,111.71,-1.01,1
"279","Brooklyn Nets","E","A",41,41,0.5,-0.77,106.45,107.43,-0.97,-1,106.49,107.7,-1.22,1
"280","Sacramento Kings","W","P",33,49,0.402,-1.8,106.79,108.59,-1.8,-1.35,106.92,108.23,-1.31,0
"281","New Orleans Pelicans","W","SW",39,43,0.476,-1.57,105.68,107.51,-1.83,-1.2,105.78,107.19,-1.41,0
"282","Miami Heat","E","SE",44,38,0.537,-0.91,105.25,106.36,-1.12,-1.21,105.23,106.67,-1.44,1
"283","Indiana Pacers","E","C",35,47,0.427,-2.44,103.7,106.21,-2.51,-2.62,103.72,106.44,-2.72,0
"284","Oklahoma City Thunder","W","NW",31,51,0.378,-2.89,108.21,111.52,-3.31,-2.45,108.45,111.27,-2.82,0
"285","New York Knicks","E","A",33,49,0.402,-2.85,106.39,109.53,-3.14,-3.06,106.45,109.82,-3.38,0
"286","Minnesota Timberwolves","W","NW",32,50,0.39,-3.67,104.58,108.64,-4.06,-3.16,104.64,108.15,-3.51,0
"287","Philadelphia 76ers","E","A",35,47,0.427,-3.02,104.42,107.77,-3.35,-3.26,104.43,108.04,-3.61,0
"288","Boston Celtics","E","A",24,58,0.293,-3.41,104.07,107.96,-3.89,-3.71,103.98,108.18,-4.19,0
"289","Portland Trail Blazers","W","NW",32,50,0.39,-4.29,105.94,110.79,-4.85,-3.78,106.13,110.42,-4.29,0
"290","Charlotte Hornets","E","SE",33,49,0.402,-3.74,104.29,108.34,-4.04,-3.97,104.23,108.52,-4.3,0
"291","Milwaukee Bucks","E","C",28,54,0.341,-4.38,107.63,112.34,-4.71,-4.44,107.89,112.66,-4.77,0
"292","Memphis Grizzlies","W","SW",22,60,0.268,-5.15,107.37,112.95,-5.58,-4.44,107.74,112.54,-4.81,0
"293","Atlanta Hawks","E","SE",30,52,0.366,-4.76,103.83,109.24,-5.41,-4.86,103.98,109.5,-5.52,0
"294","Boston Celtics","E","A",66,16,0.805,10.26,111.1,99.75,11.35,9.31,110.55,100.23,10.32,1
"295","Los Angeles Lakers","W","P",57,25,0.695,7.26,113.71,106.08,7.63,7.34,113.72,105.99,7.73,1
"296","Detroit Pistons","E","C",59,23,0.72,7.39,112.09,103.64,8.45,6.67,111.76,104.09,7.66,1
"297","Utah Jazz","W","NW",54,28,0.659,6.88,114.52,107.05,7.47,6.87,114.6,107.15,7.44,1
"298","New Orleans Pelicans","W","SW",56,26,0.683,5.28,112.21,106.44,5.77,5.46,112.3,106.34,5.96,1
"299","San Antonio Spurs","W","SW",56,26,0.683,4.79,107.91,102.54,5.37,5.1,107.8,102.11,5.68,1
"300","Houston Rockets","W","SW",55,27,0.671,4.68,107.47,102.17,5.3,4.83,107.3,101.85,5.45,1
"301","Phoenix Suns","W","P",55,27,0.671,5.05,114.04,108.77,5.27,5.14,114.22,108.86,5.36,1
"302","Dallas Mavericks","W","SW",51,31,0.622,4.54,111.9,106.82,5.08,4.7,112.02,106.77,5.25,1
"303","Orlando Magic","E","SE",52,30,0.634,5.46,112.12,106.26,5.86,4.79,111.89,106.75,5.14,1
"304","Denver Nuggets","W","NW",50,32,0.61,3.71,110.46,106.95,3.51,3.74,110.48,106.93,3.55,1
"305","Toronto Raptors","E","A",41,41,0.5,2.9,111.06,107.46,3.6,2.47,110.99,107.86,3.12,1
"306","Golden State Warriors","W","P",48,34,0.585,2.21,112.46,110.24,2.22,2.38,112.59,110.19,2.39,0
"307","Philadelphia 76ers","E","A",40,42,0.488,0.41,107.38,106.91,0.47,0.19,107.25,107.01,0.24,1
"308","Portland Trail Blazers","W","NW",41,41,0.5,-0.98,107.97,109.07,-1.1,-0.52,108.11,108.73,-0.61,0
"309","Cleveland Cavaliers","E","C",45,37,0.549,-0.35,106.66,107.15,-0.49,-0.52,106.58,107.23,-0.65,1
"310","Washington Wizards","E","SE",43,39,0.524,-0.33,110.03,110.39,-0.36,-0.6,110.06,110.71,-0.65,1
"311","Indiana Pacers","E","C",36,46,0.439,-1.4,106.69,108.2,-1.51,-1.86,106.47,108.47,-2,0
"312","Sacramento Kings","W","P",38,44,0.463,-2.26,108.25,110.71,-2.45,-1.85,108.48,110.51,-2.03,0
"313","Atlanta Hawks","E","SE",37,45,0.451,-1.82,107.6,109.52,-1.92,-2.23,107.44,109.81,-2.37,1
"314","Chicago Bulls","E","C",33,49,0.402,-3.09,104.65,107.91,-3.26,-3.19,104.6,107.96,-3.36,0
"315","Charlotte Hornets","E","SE",32,50,0.39,-4.38,105.39,110.22,-4.83,-4.48,105.43,110.36,-4.93,0
"316","Brooklyn Nets","E","A",34,48,0.415,-5.06,104.61,110.25,-5.64,-5.15,104.6,110.32,-5.72,0
"317","Memphis Grizzlies","W","SW",22,60,0.268,-6.21,105.44,112.07,-6.62,-5.75,105.72,111.86,-6.14,0
"318","Minnesota Timberwolves","W","NW",22,60,0.268,-6.78,104.42,111.96,-7.54,-6.25,104.62,111.59,-6.97,0
"319","New York Knicks","E","A",23,59,0.28,-6.61,105.34,112.45,-7.11,-6.54,105.54,112.57,-7.03,0
"320","Los Angeles Clippers","W","P",23,59,0.28,-7.27,101.63,109.76,-8.14,-6.56,101.66,109.05,-7.38,0
"321","Milwaukee Bucks","E","C",26,56,0.317,-6.89,105.74,113.43,-7.68,-6.91,105.95,113.64,-7.69,0
"322","Oklahoma City Thunder","W","NW",20,62,0.244,-8.76,101.17,110.16,-8.99,-8.04,101.3,109.54,-8.24,0
"323","Miami Heat","E","SE",15,67,0.183,-8.65,101.13,110.8,-9.68,-8.53,101.12,110.64,-9.52,0
"324","Cleveland Cavaliers","E","C",66,16,0.805,8.93,113.29,103.2,10.09,8.68,113.18,103.37,9.8,1
"325","Boston Celtics","E","A",62,20,0.756,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16,1
"326","Los Angeles Lakers","W","P",65,17,0.793,7.66,113.43,105.29,8.14,7.11,113,105.45,7.55,1
"327","Orlando Magic","E","SE",59,23,0.72,6.7,109.66,102.58,7.08,6.49,109.52,102.66,6.86,1
"328","Portland Trail Blazers","W","NW",54,28,0.659,5.34,114.74,108.68,6.06,5,114.62,108.94,5.67,1
"329","Houston Rockets","W","SW",53,29,0.646,4,109.22,104.67,4.55,3.73,108.94,104.69,4.25,1
"330","San Antonio Spurs","W","SW",54,28,0.659,3.76,109.18,105.01,4.17,3.36,108.79,105.05,3.74,1
"331","Denver Nuggets","W","NW",54,28,0.659,3.41,111.03,107.68,3.35,3.13,110.83,107.78,3.05,1
"332","Utah Jazz","W","NW",48,34,0.585,2.65,110.84,107.89,2.96,2.31,110.52,107.93,2.59,1
"333","Atlanta Hawks","E","SE",47,35,0.573,1.57,110.28,108.43,1.84,1.7,110.49,108.51,1.98,1
"334","Dallas Mavericks","W","SW",50,32,0.61,1.98,111.2,109.14,2.06,1.68,111.03,109.29,1.74,1
"335","Phoenix Suns","W","P",46,36,0.561,1.93,114.2,112.3,1.89,1.62,114.12,112.55,1.57,0
"336","New Orleans Pelicans","W","SW",49,33,0.598,1.55,109.75,108.07,1.68,1.41,109.6,108.07,1.53,1
"337","Miami Heat","E","SE",43,39,0.524,0.26,108.34,108.28,0.06,0.49,108.56,108.24,0.32,1
"338","Philadelphia 76ers","E","A",41,41,0.5,0.07,108.79,108.79,0,0.16,108.89,108.79,0.1,1
"339","Chicago Bulls","E","C",41,41,0.5,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09,1
"340","Detroit Pistons","E","C",39,43,0.476,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44,1
"341","Indiana Pacers","E","C",36,46,0.439,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73,0
"342","Milwaukee Bucks","E","C",34,48,0.415,-1.09,107.44,108.61,-1.18,-0.87,107.6,108.54,-0.94,0
"343","Charlotte Hornets","E","SE",35,47,0.427,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.5,0
"344","New York Knicks","E","A",32,50,0.39,-2.61,108.7,111.41,-2.71,-2.33,109.03,111.44,-2.41,0
"345","Brooklyn Nets","E","A",34,48,0.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56,0
"346","Toronto Raptors","E","A",33,49,0.402,-2.82,107.72,110.69,-2.97,-2.53,107.99,110.66,-2.66,0
"347","Golden State Warriors","W","P",29,53,0.354,-3.74,109.94,113.76,-3.82,-3.8,109.98,113.86,-3.89,0
"348","Minnesota Timberwolves","W","NW",24,58,0.293,-4.91,106.75,112.18,-5.43,-4.74,106.78,112,-5.23,0
"349","Memphis Grizzlies","W","SW",24,58,0.293,-5.46,104.51,110.62,-6.12,-5.22,104.48,110.33,-5.84,0
"350","Oklahoma City Thunder","W","NW",23,59,0.28,-6.1,103.59,110.06,-6.47,-6.03,103.41,109.82,-6.41,0
"351","Washington Wizards","E","SE",19,63,0.232,-7.46,105.98,114.23,-8.26,-6.98,106.39,114.11,-7.73,0
"352","Sacramento Kings","W","P",17,65,0.207,-8.76,106.3,115.64,-9.34,-8.59,106.32,115.5,-9.18,0
"353","Los Angeles Clippers","W","P",19,63,0.232,-8.77,102.87,112.52,-9.65,-8.46,102.84,112.16,-9.31,0
"354","Orlando Magic","E","SE",59,23,0.72,7.49,112.13,104,8.13,7.12,112.02,104.28,7.73,1
"355","Cleveland Cavaliers","E","C",61,21,0.744,6.52,112.27,105.07,7.21,6.17,112.29,105.47,6.82,1
"356","Utah Jazz","W","NW",53,29,0.646,5.34,111.57,105.81,5.76,5.33,111.44,105.69,5.75,1
"357","San Antonio Spurs","W","SW",50,32,0.61,5.09,110.61,105.17,5.44,5.07,110.49,105.07,5.42,1
"358","Los Angeles Lakers","W","P",57,25,0.695,4.72,109.51,104.57,4.93,4.78,109.32,104.32,5,1
"359","Phoenix Suns","W","P",54,28,0.659,4.9,116.11,110.94,5.16,4.68,116.06,111.13,4.93,1
"360","Atlanta Hawks","E","SE",53,29,0.646,4.66,112.6,107.6,5,4.44,112.67,107.91,4.77,1
"361","Denver Nuggets","W","NW",53,29,0.646,4.09,112.32,108.21,4.11,4.15,112.26,108.06,4.2,1
"362","Oklahoma City Thunder","W","NW",50,32,0.61,3.49,109.18,105.43,3.75,3.55,109.06,105.23,3.82,1
"363","Portland Trail Blazers","W","NW",50,32,0.61,3.3,111.91,108.02,3.88,3.18,111.78,108.04,3.74,1
"364","Boston Celtics","E","A",50,32,0.61,3.66,108.65,104.62,4.03,3.37,108.5,104.79,3.72,1
"365","Dallas Mavericks","W","SW",55,27,0.671,2.72,110,107.17,2.84,2.67,109.88,107.09,2.79,1
"366","Miami Heat","E","SE",47,35,0.573,2.28,107.63,105.06,2.57,2,107.58,105.32,2.26,1
"367","Milwaukee Bucks","E","C",46,36,0.561,1.7,105.74,103.81,1.94,1.38,105.68,104.09,1.59,1
"368","Charlotte Hornets","E","SE",44,38,0.537,1.46,105.26,103.87,1.39,1.3,105.2,103.97,1.22,1
"369","Houston Rockets","W","SW",42,40,0.512,-0.37,108.37,108.79,-0.42,-0.01,108.4,108.45,-0.04,0
"370","Memphis Grizzlies","W","SW",40,42,0.488,-1.51,109.07,110.71,-1.64,-1.38,109,110.49,-1.49,0
"371","Toronto Raptors","E","A",40,42,0.488,-1.78,112.19,113.89,-1.69,-1.83,112.45,114.2,-1.75,0
"372","Chicago Bulls","E","C",41,41,0.5,-1.63,104.24,106.03,-1.79,-1.63,104.29,106.08,-1.79,1
"373","New Orleans Pelicans","W","SW",37,45,0.451,-2.46,108.19,110.92,-2.73,-2.26,108.15,110.67,-2.52,0
"374","Indiana Pacers","E","C",32,50,0.39,-3.01,104.6,107.64,-3.04,-3.1,104.58,107.73,-3.14,0
"375","Golden State Warriors","W","P",26,56,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28,0
"376","New York Knicks","E","A",29,53,0.354,-3.82,108.22,112.2,-3.98,-4.01,108.33,112.52,-4.19,0
"377","Sacramento Kings","W","P",25,57,0.305,-4.37,106.05,110.82,-4.76,-4.06,106.09,110.52,-4.42,0
"378","Philadelphia 76ers","E","A",27,55,0.329,-3.9,106.93,111.35,-4.42,-3.93,107.15,111.58,-4.43,0
"379","Washington Wizards","E","SE",26,56,0.317,-4.78,105.11,110.41,-5.3,-4.72,105.34,110.57,-5.23,0
"380","Detroit Pistons","E","C",27,55,0.329,-5.11,106.6,112.41,-5.82,-5.02,106.78,112.48,-5.7,0
"381","Los Angeles Clippers","W","P",29,53,0.354,-6.35,104.07,111.02,-6.95,-6.01,104.04,110.61,-6.57,0
"382","Minnesota Timberwolves","W","NW",15,67,0.183,-9.6,102.34,112.31,-9.97,-9.06,102.38,111.78,-9.4,0
"383","Brooklyn Nets","E","A",12,70,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79,0
"384","Miami Heat","E","SE",58,24,0.707,7.46,112.62,104.35,8.27,6.76,112.43,104.94,7.49,1
"385","Chicago Bulls","E","C",62,20,0.756,7.32,109.3,101.07,8.23,6.53,109.02,101.65,7.37,1
"386","Los Angeles Lakers","W","P",57,25,0.695,6.11,111.61,105,6.61,6.01,111.4,104.89,6.51,1
"387","San Antonio Spurs","W","SW",61,21,0.744,5.71,112.31,106.23,6.07,5.86,112.22,105.97,6.25,1
"388","Orlando Magic","E","SE",52,30,0.634,5.46,108.78,102.87,5.91,4.92,108.63,103.31,5.32,1
"389","Boston Celtics","E","A",56,26,0.683,5.37,107.36,101.46,5.9,4.83,107.03,101.73,5.3,1
"390","Denver Nuggets","W","NW",50,32,0.61,4.76,112.84,108.03,4.82,4.81,112.73,107.84,4.89,1
"391","Dallas Mavericks","W","SW",57,25,0.695,4.23,110.24,105.76,4.49,4.41,110.08,105.4,4.68,1
"392","Oklahoma City Thunder","W","NW",55,27,0.671,3.79,112.2,108.06,4.14,3.81,112.09,107.93,4.16,1
"393","Memphis Grizzlies","W","SW",46,36,0.561,2.34,108.52,105.98,2.55,2.55,108.42,105.65,2.77,1
"394","Houston Rockets","W","SW",43,39,0.524,2.18,112.02,109.67,2.35,2.37,112.07,109.51,2.56,0
"395","Portland Trail Blazers","W","NW",48,34,0.585,1.52,109.78,107.93,1.85,1.85,109.73,107.54,2.19,1
"396","New Orleans Pelicans","W","SW",46,36,0.561,0.89,107.25,106.19,1.06,1.28,107.18,105.7,1.48,1
"397","Philadelphia 76ers","E","A",41,41,0.5,1.5,107.62,106.02,1.6,1.01,107.55,106.48,1.07,1
"398","New York Knicks","E","A",42,40,0.512,0.78,111.76,110.92,0.84,0.48,112,111.48,0.51,1
"399","Phoenix Suns","W","P",40,42,0.488,-0.89,110.2,111.15,-0.94,-0.46,110.35,110.83,-0.47,0
"400","Milwaukee Bucks","E","C",35,47,0.427,-0.84,102.47,103.46,-1,-1.01,102.29,103.48,-1.18,0
"401","Atlanta Hawks","E","SE",44,38,0.537,-0.82,107.01,107.96,-0.95,-1.1,107.03,108.29,-1.26,1
"402","Indiana Pacers","E","C",37,45,0.451,-1.07,105.53,106.73,-1.2,-1.37,105.54,107.07,-1.53,1
"403","Utah Jazz","W","NW",39,43,0.476,-1.83,108.95,111.05,-2.1,-1.44,109.08,110.75,-1.67,0
"404","Golden State Warriors","W","P",36,46,0.439,-2.33,108.96,111.39,-2.43,-2,109,111.08,-2.08,0
"405","Los Angeles Clippers","W","P",32,50,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08,0
"406","Detroit Pistons","E","C",30,52,0.366,-3.6,108.37,112.5,-4.13,-3.78,108.65,112.98,-4.33,0
"407","Charlotte Hornets","E","SE",34,48,0.415,-4,104.32,108.92,-4.6,-4.08,104.43,109.11,-4.67,0
"408","Sacramento Kings","W","P",24,58,0.293,-5.34,104.18,109.82,-5.65,-4.8,104.16,109.24,-5.07,0
"409","Minnesota Timberwolves","W","NW",17,65,0.207,-6.63,104.84,111.69,-6.85,-5.97,104.93,111.07,-6.15,0
"410","Toronto Raptors","E","A",22,60,0.268,-6.28,106.85,113.57,-6.72,-6.28,107.17,113.88,-6.72,0
"411","Brooklyn Nets","E","A",24,58,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99,0
"412","Washington Wizards","E","SE",23,59,0.28,-7.4,103.12,110.93,-7.81,-7.3,103.39,111.09,-7.71,0
"413","Cleveland Cavaliers","E","C",19,63,0.232,-9.01,102.74,112.56,-9.81,-8.88,103.02,112.69,-9.67,0
"414","Chicago Bulls","E","C",50,16,0.758,8.18,108.22,98.89,9.33,7.43,108.21,99.72,8.49,1
"415","San Antonio Spurs","W","SW",50,16,0.758,7.17,111.45,103.83,7.62,7.28,111.35,103.6,7.75,1
